Year,yearcode,Site,sitecode,Transect,Interval,Heights
1998,2,Rough Meadows,2,5.1,20,235
1999,3,Rough Meadows,2,5.1,20,199
1999,3,Rough Meadows,2,5.1,20,184
2000,4,Rough Meadows,2,5.1,20,225
2000,4,Rough Meadows,2,5.1,20,224
2001,5,Rough Meadows,2,5.1,20,200
2001,5,Rough Meadows,2,5.1,20,198
2002,6,Rough Meadows,2,5.1,20,223
2002,6,Rough Meadows,2,5.1,20,217
1997,1,Rough Meadows,2,5.2,10,0
1997,1,Rough Meadows,2,5.2,10,0
1998,2,Rough Meadows,2,5.2,10,171
1998,2,Rough Meadows,2,5.2,10,200
1999,3,Rough Meadows,2,5.2,10,0
1999,3,Rough Meadows,2,5.2,10,0
2000,4,Rough Meadows,2,5.2,10,305
2000,4,Rough Meadows,2,5.2,10,234
2001,5,Rough Meadows,2,5.2,10,268
2001,5,Rough Meadows,2,5.2,10,263
2002,6,Rough Meadows,2,5.2,10,302
2002,6,Rough Meadows,2,5.2,10,293
1997,1,Rough Meadows,2,5.2,15,275
1997,1,Rough Meadows,2,5.2,15,300
1998,2,Rough Meadows,2,5.2,15,332
1998,2,Rough Meadows,2,5.2,15,292
1999,3,Rough Meadows,2,5.2,15,298
1999,3,Rough Meadows,2,5.2,15,293
2000,4,Rough Meadows,2,5.2,15,323
2000,4,Rough Meadows,2,5.2,15,270
2001,5,Rough Meadows,2,5.2,15,327
2001,5,Rough Meadows,2,5.2,15,310
2002,6,Rough Meadows,2,5.2,15,301
2002,6,Rough Meadows,2,5.2,15,296
1997,1,Rough Meadows,2,5.2,20,355
1997,1,Rough Meadows,2,5.2,20,350
1998,2,Rough Meadows,2,5.2,20,330
1998,2,Rough Meadows,2,5.2,20,317
1999,3,Rough Meadows,2,5.2,20,291
1999,3,Rough Meadows,2,5.2,20,293
2000,4,Rough Meadows,2,5.2,20,352
2000,4,Rough Meadows,2,5.2,20,332
2001,5,Rough Meadows,2,5.2,20,353
2001,5,Rough Meadows,2,5.2,20,348
2002,6,Rough Meadows,2,5.2,20,295
2002,6,Rough Meadows,2,5.2,20,266
