Year,yearcode,Site,sitecode,Transect,Interval,Heights
1997,1,Argilla Rd.,1,7,10,105
1997,1,Argilla Rd.,1,7,10,109
1998,2,Argilla Rd.,1,7,10,125
1998,2,Argilla Rd.,1,7,10,115
1999,3,Argilla Rd.,1,7,10,112
1999,3,Argilla Rd.,1,7,10,105
2000,4,Argilla Rd.,1,7,10,114
2000,4,Argilla Rd.,1,7,10,104
2001,5,Argilla Rd.,1,7,10,93
2001,5,Argilla Rd.,1,7,10,92
2002,6,Argilla Rd.,1,7,10,89
2002,6,Argilla Rd.,1,7,10,86
1997,1,Argilla Rd.,1,7,15,0
1997,1,Argilla Rd.,1,7,15,0
1998,2,Argilla Rd.,1,7,15,131
1998,2,Argilla Rd.,1,7,15,0
1999,3,Argilla Rd.,1,7,15,114
1999,3,Argilla Rd.,1,7,15,86
2000,4,Argilla Rd.,1,7,15,104
2000,4,Argilla Rd.,1,7,15,101
2001,5,Argilla Rd.,1,7,15,92
2001,5,Argilla Rd.,1,7,15,80
2002,6,Argilla Rd.,1,7,15,80
2002,6,Argilla Rd.,1,7,15,68
1997,1,Argilla Rd.,1,7,35,127
1997,1,Argilla Rd.,1,7,35,121
1998,2,Argilla Rd.,1,7,35,107
1998,2,Argilla Rd.,1,7,35,116
1999,3,Argilla Rd.,1,7,35,90
1999,3,Argilla Rd.,1,7,35,71
2000,4,Argilla Rd.,1,7,35,98
2000,4,Argilla Rd.,1,7,35,86
2001,5,Argilla Rd.,1,7,35,111
2001,5,Argilla Rd.,1,7,35,90
2002,6,Argilla Rd.,1,7,35,0
2002,6,Argilla Rd.,1,7,35,0
1997,1,Argilla Rd.,1,7,40,112
1997,1,Argilla Rd.,1,7,40,110
1998,2,Argilla Rd.,1,7,40,120
1998,2,Argilla Rd.,1,7,40,117
1999,3,Argilla Rd.,1,7,40,100
1999,3,Argilla Rd.,1,7,40,93
2000,4,Argilla Rd.,1,7,40,111
2000,4,Argilla Rd.,1,7,40,106
2001,5,Argilla Rd.,1,7,40,116
2001,5,Argilla Rd.,1,7,40,88
2002,6,Argilla Rd.,1,7,40,0
2002,6,Argilla Rd.,1,7,40,0
1997,1,Argilla Rd.,1,7,45,126
1997,1,Argilla Rd.,1,7,45,124
1998,2,Argilla Rd.,1,7,45,145
1998,2,Argilla Rd.,1,7,45,141
1999,3,Argilla Rd.,1,7,45,0
1999,3,Argilla Rd.,1,7,45,0
2000,4,Argilla Rd.,1,7,45,0
2000,4,Argilla Rd.,1,7,45,0
2001,5,Argilla Rd.,1,7,45,0
2001,5,Argilla Rd.,1,7,45,0
2002,6,Argilla Rd.,1,7,45,0
2002,6,Argilla Rd.,1,7,45,0
1997,1,Argilla Rd.,1,8,0,178
1997,1,Argilla Rd.,1,8,0,187
1998,2,Argilla Rd.,1,8,0,215
1998,2,Argilla Rd.,1,8,0,215
1999,3,Argilla Rd.,1,8,0,155
1999,3,Argilla Rd.,1,8,0,130
2000,4,Argilla Rd.,1,8,0,169
2000,4,Argilla Rd.,1,8,0,165
2001,5,Argilla Rd.,1,8,0,149
2001,5,Argilla Rd.,1,8,0,140
2002,6,Argilla Rd.,1,8,0,141
2002,6,Argilla Rd.,1,8,0,135
1997,1,Argilla Rd.,1,8,5,198
1997,1,Argilla Rd.,1,8,5,197
1998,2,Argilla Rd.,1,8,5,258
1998,2,Argilla Rd.,1,8,5,237
1999,3,Argilla Rd.,1,8,5,145
1999,3,Argilla Rd.,1,8,5,135
2000,4,Argilla Rd.,1,8,5,169
2000,4,Argilla Rd.,1,8,5,157
2001,5,Argilla Rd.,1,8,5,158
2001,5,Argilla Rd.,1,8,5,151
2002,6,Argilla Rd.,1,8,5,145
2002,6,Argilla Rd.,1,8,5,132
1997,1,Argilla Rd.,1,8,10,183
1997,1,Argilla Rd.,1,8,10,194
1998,2,Argilla Rd.,1,8,10,253
1998,2,Argilla Rd.,1,8,10,251
1999,3,Argilla Rd.,1,8,10,130
1999,3,Argilla Rd.,1,8,10,105
2000,4,Argilla Rd.,1,8,10,158
2000,4,Argilla Rd.,1,8,10,145
2001,5,Argilla Rd.,1,8,10,142
2001,5,Argilla Rd.,1,8,10,140
2002,6,Argilla Rd.,1,8,10,122
2002,6,Argilla Rd.,1,8,10,108
1997,1,Argilla Rd.,1,8,15,198
1997,1,Argilla Rd.,1,8,15,206
1998,2,Argilla Rd.,1,8,15,243
1998,2,Argilla Rd.,1,8,15,242
1999,3,Argilla Rd.,1,8,15,155
1999,3,Argilla Rd.,1,8,15,120
2000,4,Argilla Rd.,1,8,15,121
2000,4,Argilla Rd.,1,8,15,80
2001,5,Argilla Rd.,1,8,15,0
2001,5,Argilla Rd.,1,8,15,0
2002,6,Argilla Rd.,1,8,15,82
2002,6,Argilla Rd.,1,8,15,80
1997,1,Argilla Rd.,1,8,20,140
1997,1,Argilla Rd.,1,8,20,161
1998,2,Argilla Rd.,1,8,20,155
1998,2,Argilla Rd.,1,8,20,137
1999,3,Argilla Rd.,1,8,20,0
1999,3,Argilla Rd.,1,8,20,0
2000,4,Argilla Rd.,1,8,20,0
2000,4,Argilla Rd.,1,8,20,0
2001,5,Argilla Rd.,1,8,20,0
2001,5,Argilla Rd.,1,8,20,0
2002,6,Argilla Rd.,1,8,20,0
2002,6,Argilla Rd.,1,8,20,0
1997,1,Argilla Rd.,1,8,25,150
1997,1,Argilla Rd.,1,8,25,138
1998,2,Argilla Rd.,1,8,25,135
1998,2,Argilla Rd.,1,8,25,125
1999,3,Argilla Rd.,1,8,25,0
1999,3,Argilla Rd.,1,8,25,0
2000,4,Argilla Rd.,1,8,25,0
2000,4,Argilla Rd.,1,8,25,0
2001,5,Argilla Rd.,1,8,25,0
2001,5,Argilla Rd.,1,8,25,0
2002,6,Argilla Rd.,1,8,25,0
2002,6,Argilla Rd.,1,8,25,0
1997,1,Argilla Rd.,1,8,30,215
1997,1,Argilla Rd.,1,8,30,174
1998,2,Argilla Rd.,1,8,30,178
1998,2,Argilla Rd.,1,8,30,137
1999,3,Argilla Rd.,1,8,30,111
1999,3,Argilla Rd.,1,8,30,66
1999,3,Argilla Rd.,1,8,30,0
2000,4,Argilla Rd.,1,8,30,0
2000,4,Argilla Rd.,1,8,30,0
2001,5,Argilla Rd.,1,8,30,0
2001,5,Argilla Rd.,1,8,30,0
2002,6,Argilla Rd.,1,8,30,0
2002,6,Argilla Rd.,1,8,30,0
1997,1,Argilla Rd.,1,9,5,0
1997,1,Argilla Rd.,1,9,5,0
1998,2,Argilla Rd.,1,9,5,235
1998,2,Argilla Rd.,1,9,5,230
1999,3,Argilla Rd.,1,9,5,136
1999,3,Argilla Rd.,1,9,5,134
2000,4,Argilla Rd.,1,9,5,154
2000,4,Argilla Rd.,1,9,5,129
2001,5,Argilla Rd.,1,9,5,161
2001,5,Argilla Rd.,1,9,5,133
2002,6,Argilla Rd.,1,9,5,138
2002,6,Argilla Rd.,1,9,5,133
1998,2,Argilla Rd.,1,9,20,255
1998,2,Argilla Rd.,1,9,20,230
1999,3,Argilla Rd.,1,9,20,143
1999,3,Argilla Rd.,1,9,20,141
2000,4,Argilla Rd.,1,9,20,150
2000,4,Argilla Rd.,1,9,20,144
2001,5,Argilla Rd.,1,9,20,123
2001,5,Argilla Rd.,1,9,20,113
2002,6,Argilla Rd.,1,9,20,92
2002,6,Argilla Rd.,1,9,20,80
1997,1,Argilla Rd.,1,9,25,211
1997,1,Argilla Rd.,1,9,25,173
1998,2,Argilla Rd.,1,9,25,285
1998,2,Argilla Rd.,1,9,25,255
1999,3,Argilla Rd.,1,9,25,181
1999,3,Argilla Rd.,1,9,25,171
2000,4,Argilla Rd.,1,9,25,150
2000,4,Argilla Rd.,1,9,25,133
2001,5,Argilla Rd.,1,9,25,114
2001,5,Argilla Rd.,1,9,25,101
2002,6,Argilla Rd.,1,9,25,78
2002,6,Argilla Rd.,1,9,25,75
1997,1,Argilla Rd.,1,9,30,194
1997,1,Argilla Rd.,1,9,30,181
1998,2,Argilla Rd.,1,9,30,235
1998,2,Argilla Rd.,1,9,30,225
1999,3,Argilla Rd.,1,9,30,129
1999,3,Argilla Rd.,1,9,30,114
2000,4,Argilla Rd.,1,9,30,104
2000,4,Argilla Rd.,1,9,30,98
2001,5,Argilla Rd.,1,9,30,57
2001,5,Argilla Rd.,1,9,30,85
2002,6,Argilla Rd.,1,9,30,0
2002,6,Argilla Rd.,1,9,30,0
1997,1,Argilla Rd.,1,9,35,250,
1997,1,Argilla Rd.,1,9,35,219,
1998,2,Argilla Rd.,1,9,35,245,
1998,2,Argilla Rd.,1,9,35,240,
1999,3,Argilla Rd.,1,9,35,0,
1999,3,Argilla Rd.,1,9,35,0,
2000,4,Argilla Rd.,1,9,35,0,
2000,4,Argilla Rd.,1,9,35,0,
2001,5,Argilla Rd.,1,9,35,0,
2001,5,Argilla Rd.,1,9,35,0,
2002,6,Argilla Rd.,1,9,35,0,
2002,6,Argilla Rd.,1,9,35,0,
1997,1,Argilla Rd.,1,9,40,250,
1997,1,Argilla Rd.,1,9,40,237,
1998,2,Argilla Rd.,1,9,40,270,
1998,2,Argilla Rd.,1,9,40,235,
1999,3,Argilla Rd.,1,9,40,0
1999,3,Argilla Rd.,1,9,40,0
2000,4,Argilla Rd.,1,9,40,0
2000,4,Argilla Rd.,1,9,40,0
2001,5,Argilla Rd.,1,9,40,0
2001,5,Argilla Rd.,1,9,40,0
2002,6,Argilla Rd.,1,9,40,0
2002,6,Argilla Rd.,1,9,40,0
1997,1,Rough Meadows,2,1.1,5,120
1997,1,Rough Meadows,2,1.1,5,130
1998,2,Rough Meadows,2,1.1,5,126
1998,2,Rough Meadows,2,1.1,5,119
1999,3,Rough Meadows,2,1.1,5,87
